,Name,Category Name,,Ticker
DAN.MI,Danieli & C. Officine Meccaniche S.p.A.,Diversified Machinery,DAN,xmil:DAN
DGT.MI,DigiTouch S.p.A.,Advertising Agencies,DGT,xmil:DGT
DIS.MI,D'Amico International Shipping S.A.,Shipping,DIS,xmil:DIS
DIA.MI,DiaSorin S.p.A.,Medical Laboratories & Research,DIA,xmil:DIA
DM.MI,Digital Magics S.p.A.,Internet Information Providers,DM,xmil:DM
DLC.MI,DeLclima S.p.A.,,DLC,xmil:DLC
DLG.MI,De'Longhi S.p.A.,Electronic Equipment,DLG,xmil:DLG
ECK.MI,Ecosuntek S.p.A.,Diversified Utilities,ECK,xmil:ECK
ECA.MI,ErgyCapital S.p.A.,Diversified Utilities,ECA,xmil:ECA
EDNR.MI,Edison S.p.A.,Electric Utilities,EDNR,xmil:EDNR
POL.MI,Poligrafici Editoriale S.p.A.,Publishing - Newspapers,POL,xmil:POL
EEMS.MI,EEMS Italia SpA,Semiconductor - Broad Line,EEMS,xmil:EEMS
EIT.MI,EI Towers S.p.A,,EIT,xmil:EIT
ELC.MI,Elica S.p.A.,Home Furnishings & Fixtures,ELC,xmil:ELC
ELN.MI,EL.EN. S.p.A.,Medical Appliances & Equipment,ELN,xmil:ELN
ELIN.MI,Elettra Investimenti SpA,Diversified Utilities,ELIN,xmil:ELIN
ELAB.MI,Energy Lab S.p.A.,Diversified Utilities,ELAB,xmil:ELAB
EM.MI,Emak S.p.A.,Machine Tools & Accessories,EM,xmil:EM
EMC.MI,Energica Motor Company S.p.A.,Recreational Vehicles,EMC,xmil:EMC
FTL.MI,Fintel Energia Group S.p.A.,Diversified Utilities,FTL,xmil:FTL
ENV.MI,Enervit S.p.A.,Beverages - Soft Drinks,ENV,xmil:ENV
ENT.MI,Enertronica S.p.A.,Diversified Utilities,ENT,xmil:ENT
TEF.MI,"Telefónica, S.A.",Wireless Communications,TEF,xmil:TEF
SANT.MI,"Banco Santander, S.A.",Money Center Banks,SANT,xmil:SANT
ETH.MI,Eurotech SpA,Computer Based Systems,ETH,xmil:ETH
EXSY.MI,Expert System S.p.A.,Technical & System Software,EXSY,xmil:EXSY
FARM.MI,H-Farm S.p.A.,Asset Management,FARM,xmil:FARM
FKR.MI,Falck Renewables S.p.A.,,FKR,xmil:FKR
PSF.MI,Poligrafica S. Faustino S.p.A.,Publishing - Newspapers,PSF,xmil:PSF
FBK.MI,FinecoBank Banca Fineco S.p.A.,Money Center Banks,FBK,xmil:FBK
FCT.MI,Fincantieri S.p.A.,Aerospace/Defense - Major Diversified,FCT,xmil:FCT
SFER.MI,Salvatore Ferragamo S.p.A.,Jewelry Stores,SFER,xmil:SFER
FED.MI,Giorgio Fedon & Figli Spa,Personal Products,FED,xmil:FED
TFI.MI,TREVI - Finanziaria Industriale S.p.A.,General Contractors,TFI,xmil:TFI
LFG.MI,Leone Film Group S.p.A.,Entertainment - Diversified,LFG,xmil:LFG
FIC.MI,First Capital S.p.A.,Investment Brokerage - National,FIC,xmil:FIC
FM.MI,Fiera Milano SpA,Business Services,FM,xmil:FM
FNM.MI,FNM S.p.A.,Railroads,FNM,xmil:FNM
GLE.MI,Societe Generale Group,Money Center Banks,GLE,xmil:GLE
