,Ticker,Name
G1AG:xetr,xetr:G1A,GEA Group AG
G24:xetr,xetr:G24,Scout24 AG
GAZ:xetr,xetr:GAZ,PJSC Gazprom
GBF:xetr,xetr:GBF,Bilfinger Berger SE
GFT:xetr,xetr:GFT,GFT Technologies AG
GGS:xetr,xetr:GGS,Gigaset AG
GIL:xetr,xetr:GIL,DMG MORI AG
GIS:xetr,xetr:GIS,Gilead Sciences Inc.
GKS:xetr,xetr:GKS,GK Software AG
GLJ:xetr,xetr:GLJ,Grenke AG
GME:xetr,xetr:GME,Geratherm Medicl AG
GMM:xetr,xetr:GMM,Grammer AG
GS7:xetr,xetr:GS7,GlaxoSmithKline Plc
GSC1:xetr,xetr:GSC1,Gesco AG
GTQ1:xetr,xetr:GTQ1,Siemens Gamesa Renewable Energy SA
GWI1:xetr,xetr:GWI1,Gerry Weber International AG
GXI:xetr,xetr:GXI,Gerresheimer AG
GXP1:xetr,xetr:GXP1,GxP German Properties AG
GYC:xetr,xetr:GYC,Grand City Properties SA
H5E:xetr,xetr:H5E,HELMA Eigenheimbau AG
HAB:xetr,xetr:HAB,Hamborner AG (vormals Hamborner Bergbau AG)
HAE:xetr,xetr:HAE,Haemato AG
HAW:xetr,xetr:HAW,HAWESKO Holding AG
HBC1:xetr,xetr:HBC1,HSBC Holdings Plc
HBH:xetr,xetr:HBH,Hornbach Holding AG & Co. KGaA
HBM:xetr,xetr:HBM,Hornbach-Baumarkt-AG
HDD:xetr,xetr:HDD,Heidelberger Druckmaschinen AG
HEI:xetr,xetr:HEI,Heidelberger Cement AG
HEN:xetr,xetr:HEN,Henkel AG & Co.
HEN3:xetr,xetr:HEN3,Henkel AG & Co. KGaA Vz
HFG:xetr,xetr:HFG,HelloFresh
HG1:xetr,xetr:HG1,Homag Group AG
HHFA:xetr,xetr:HHFA,Hamburger Hafen und Logistik AG
HLAG:xetr,xetr:HLAG,Hapag-Lloyd AG
HLE:xetr,xetr:HLE,HELLA GmbH & Co. KgaA
HLG:xetr,xetr:HLG,Highlight Communications AG
HMSB:xetr,xetr:HMSB,Hennes & Mauritz AB
HNL:xetr,xetr:HNL,Dr. Hönle AG
HNR1:xetr,xetr:HNR1,Hannover Ruckversicherungs AG
HOC:xetr,xetr:HOC,HolidayCheck Group AG
HOT:xetr,xetr:HOT,HOCHTIEF AG
HP3:xetr,xetr:HP3,Ringmetall Aktiengesellschaft
HPBK:xetr,xetr:HPBK,Heliad Equity Partners GmbH & Co. KGaA
HRPK:xetr,xetr:HRPK,7C Solarparken AG
HXCK:xetr,xetr:HXCK,HCI Capital AG
HYQ:xetr,xetr:HYQ,Hypoport N
I7N:xetr,xetr:I7N,ItN Nanovation AG
IBE1:xetr,xetr:IBE1,Iberdrola SA
IBU:xetr,xetr:IBU,IBU-tec AG
IC8:xetr,xetr:IC8,InCity Immobilien AG
IDP:xetr,xetr:IDP,Biogen Inc.
IES:xetr,xetr:IES,Intesa Sanpaolo SpA
IFX:xetr,xetr:IFX,Infineon Technologies
IGY:xetr,xetr:IGY,innogy SE
ILM1:xetr,xetr:ILM1,Medios AG
INH:xetr,xetr:INH,Indus Holding AG
IS7:xetr,xetr:IS7,InTiCa Systems AG
IS8:xetr,xetr:IS8,IFA Systems AG
ISH2:xetr,xetr:ISH2,Intershop Communications AG
ISR:xetr,xetr:ISR,ISRA VISION SYSTEMS AG
ITB:xetr,xetr:ITB,Imperial Brands Plc
IVU:xetr,xetr:IVU,IVU Traffic Technologies AG
IVX:xetr,xetr:IVX,InVision Aktiengesellschaft
IXD:xetr,xetr:IXD1,Industria De Diseno Textil SA
IXX:xetr,xetr:IXX,init innovation in traffic systems AG
JEN:xetr,xetr:JEN,Jenoptik AG
JST:xetr,xetr:JST,Jost Werke AG
JUN3:xetr,xetr:JUN3,Jungheinrich AG
KCC:xetr,xetr:KCC,Mars One Ventures AG - NOCT
1P2N:xetr,xetr:1P2N,Prophecy Development Corp. - NOCT
KGX:xetr,xetr:KGX,KION Group AG
KRN:xetr,xetr:KRN,Krones AG
KSB:xetr,xetr:KSB,KSB AG
KSC:xetr,xetr:KSC,KPS AG
KU2:xetr,xetr:KU2,KUKA Aktiengesellschaft
KWG:xetr,xetr:KWG,KHD Humboldt Wedag International AG
KWS:xetr,xetr:KWS,KWS SAAT AG
LEG:xetr,xetr:LEG,LEG Immobilien AG
LEI:xetr,xetr:LEI,Leifheit AG
LEO:xetr,xetr:LEO,Leoni AG N
LHA:xetr,xetr:LHA,Deutsche Lufthansa AG
LIN:xetr,xetr:LIN,Linde AG
LINU:xetr,xetr:LINU,Linde AG
LIO1:xetr,xetr:LIO1,SYGNIS AG
LLD:xetr,xetr:LLD,Lloyds Banking Group Plc
LMI:xetr,xetr:LMI,LION E-Mobility AG
LNSX:xetr,xetr:LNSX,Sixt Leasing SE
LO24:xetr,xetr:LO24,Lotto24 AG
LPK:xetr,xetr:LPK,LPKF Laser & Electronics
LSX:xetr,xetr:LSX,LS Telcom AG
LUK:xetr,xetr:LUK,PJSC Lukoil
LUS:xetr,xetr:LUS,Lang & Schwarz
LXSG:xetr,xfra:LXS,Lanxess AG
M0Y:xetr,xetr:M0Y,Mynaric AG
M3B:xetr,xetr:M3B,mic AG
M3V:xetr,xetr:M3V,MeVis Medical Solutions AG
M4I:xetr,xetr:M4I,Mastercard Inc.
M4N:xetr,xetr:M4N,Muehlhan AG
M5Z:xetr,xetr:M5Z,Manz Automation AG
M7U:xetr,xetr:M7U,m.u.t AG Messgeraete fuer Medizin & Umwelttechnik
MA1:xetr,xetr:MA1,MAX21 AG
MAK:xetr,xetr:MAK,Maternus-Kliniken AG
MAN:xetr,xetr:MAN,MAN AG
MAN3:xetr,xetr:MAN3,MAN SE Vz
MBB:xetr,xetr:MBB,MBB SE
MBC:xetr,xetr:MBC,MyBucks SA
MBK:xetr,xetr:MBK,Merkur Bank KGaA
MBQ:xetr,xetr:MBQ,Mobotix AG
MDG1:xetr,xetr:MDG1,Medigene AG
MDN:xetr,xetr:MDN,Medion AG
MED:xetr,xetr:MED,MediClin AG
MEOB_BSKT:xetr,xmun:B4B,Metro AG - Basket
MF6:xetr,xetr:MF6,MagForce AG
MGN:xetr,xetr:MGN,Mologen AG
MLL:xetr,xetr:MLL,Mueller - Die lila Logistik AG
MLP:xetr,xetr:MLP,MLP AG
MOR:xetr,xetr:MOR,Morphosys AG
MPCK:xetr,xetr:MPCK,MPC Muenchmeyer Petersen Capital AG
MRCG:xetr,xham:MRK,Merck KGaA
MSAG:xetr,xetr:MSAG,MS Industrie AG
MSGL:xetr,xham:MSGL,msg life ag - NOCT
MT3:xetr,xetr:MT3,Matica Technologies AG - NOCT
MTX:xetr,xetr:MTX,MTU Aero Engines Holding AG
MUB:xetr,xetr:MUB,Muehlbauer Holding AG & Co. KGAA
MUM:xetr,xetr:MUM,Mensch Und Maschine Software AG
MUV2:xetr,xetr:MUV2,Muenchener Rueck
MUX:xetr,xetr:MUX,mutares AG
MVV1:xetr,xetr:MVV1,MVV Energie AG
MXHN:xetr,xetr:MXHN,MAX Automation AG
MZX:xetr,xetr:MZX,Masterflex AG
N2F:xetr,xetr:N2F,NanoFocus AG
N4G:xetr,xetr:N4G,The Naga Group AG
N7G:xetr,xetr:N7G,Nanogate SE
NC5:xetr,xetr:NC5A,Norcom Information Technology AG
NDA:xetr,xetr:NDA,Aurubis AG
NDX1:xetr,xetr:NDX1,Nordex AG
NEM:xetr,xetr:NEM,Nemetschek AG
NESR:xetr,xetr:NESR,Nestle SA
NFC:xetr,xetr:NFC,Netflix Inc.
NGLB:xetr,xetr:NGLB,Anglo American Plc
NKE:xetr,xetr:NKE,Nike Inc.
NNS:xetr,xetr:NNS,Nanostart AG
NOAA:xetr,xetr:NOAA,Nokia Corporation
NOEJ:xetr,xetr:NOEJ,NORMA Group AG
NOT:xetr,xetr:NOT,Novartis AG
NOVC:xetr,xetr:NOVC,Novo Nordisk A/S
NSU:xetr,xetr:NSU,Audi AG
NTG:xetr,xetr:NTG,Nabaltec AG
NXU:xetr,xetr:NXU,Nexus AG
O1BC:xetr,xetr:O1BC,XING AG
O2C:xetr,xetr:O2C,Petro Welt Technologies AG
O2D:xetr,xetr:O2D,Telefonica Deutschland Holding AG
O3P:xetr,xetr:O3P,Osterreichische Post AG
O4B:xetr,xetr:O4B,OVB Holding AG
O5G:xetr,xetr:O5G,CPI Property Group SA
O5H:xetr,xetr:O5H,OPENLIMIT HOLDING AG
OHB:xetr,xetr:OHB,OHB Technology AG
OSP2:xetr,xetr:OSP2,USU Software AG
OSR:xetr,xetr:OSR,Osram Licht AG
P1Z:xetr,xetr:P1Z,PATRIZIA Immobilien AG
P4O:xetr,xetr:P4O,Plan Optik AG
PA8:xetr,xetr:PA8,Paion AG
PAH3:xetr,xetr:PAH3,Porsche Automobil Holding SE
PBB:xetr,xetr:PBB,Deutsche Pfandbriefbank AG
PBY:xetr,xetr:PBY,publity AG
PCZ:xetr,xetr:PCZ,ProCredit Holding AG & Co.KGaA
PFV:xetr,xetr:PFV,Pfeiffer Vacuum Technology AG
PGN:xetr,xetr:PGN,Paragon AG
PNE3:xetr,xetr:PNE3,PNE WIND AG
PPA:xetr,xetr:PPA,PA Power Automation AG
PS4:xetr,xetr:PS4,Phoenix Solar AG
PSAN:xetr,xetr:PSAN,PSI Software AG
PSM:xetr,xetr:PSM,ProSiebenSat.1 Media AG
PUMG:xetr,xfra:PUM,Puma AG
PWO:xetr,xetr:PWO,Progress Werk Oberkirch AG
