,Name,Ticker
00312:xhkg,Shirble Department Store Holdings (China) Ltd,xhkg:00312
00315:xhkg,Smartone Telecommunications Holdings Ltd,xhkg:00315
00316:xhkg,Orient Overseas (International) Ltd,xhkg:00316
00317:xhkg,CSSC Offshore & Marine Engineering (Group) Co. Ltd,xhkg:00317
00318:xhkg,Vongroup Ltd,xhkg:00318
00320:xhkg,Computime Group Ltd,xhkg:00320
00321:xhkg,Texwinca Holdings Ltd,xhkg:00321
00322:xhkg,Tingyi (Cayman Islands) Holdings Corp.,xhkg:00322
00323:xhkg,Maanshan Iron and Steel Co. Ltd,xhkg:00323
00326:xhkg,China Star Entertainment Ltd,xhkg:00326
00327:xhkg,Pax Global Technology,xhkg:00327
00328:xhkg,Alco Holdings Ltd,xhkg:00328
00330:xhkg,Esprit Holdings Ltd,xhkg:00330
00333:xhkg,Top Form International Ltd,xhkg:00333
00334:xhkg,China Display Optoelectronics Tech Holdings Ltd,xhkg:00334
00335:xhkg,Upbest Group Ltd,xhkg:00335
00336:xhkg,Huabao International Holdings Ltd,xhkg:00336
00337:xhkg,Greenland Hong Kong Holdings Ltd,xhkg:00337
00338:xhkg,Sinopec Shanghai Petrochemical Co. Ltd,xhkg:00338
00340:xhkg,China Mining Resources Group Ltd,xhkg:00340
00341:xhkg,Cafe de Coral Holdings Ltd,xhkg:00341
00342:xhkg,NewOcean Energy Holdings Ltd,xhkg:00342
00345:xhkg,Vitasoy International Holdings Ltd,xhkg:00345
00346:xhkg,Yanchang Petroleum International Ltd,xhkg:00346
00347:xhkg,Angang Steel Co. Ltd,xhkg:00347
00348:xhkg,China Healthwise Holdings Ltd,xhkg:00348
00353:xhkg,Energy International Investments Holdings Ltd,xhkg:00353
00354:xhkg,Chinasoft International Ltd,xhkg:00354
00357:xhkg,HNA Infrastructure Co Ltd,xhkg:00357
00358:xhkg,Jiangxi Copper Co. Ltd,xhkg:00358
00360:xhkg,New Focus Auto Tech Holdings Ltd,xhkg:00360
00361:xhkg,Sino Golf Holdings Ltd,xhkg:00361
