,Name,Ticker
3863:xtks,Nippon Paper Industries Co Ltd,xtks:3863
3864:xtks,Mitsubishi Paper Mills Ltd,xtks:3864
3865:xtks,Hokuetsu Paper Mills Ltd,xtks:3865
3892:xtks,Okayama Paper Industries Co. Ltd,xtks:3892
3901:xtks,MarkLines Co. Ltd,xtks:3901
3911:xtks,Aiming Inc.,xtks:3911
3914:xtks,Jig-Saw Inc.,xtks:3914
3921:xtks,Neojapan Inc.,xtks:3921
3932:xtks,Akatsuki Inc.,xtks:3932
3938:xtks,LINE Corp.,xtks:3938
3941:xtks,Rengo Co. Ltd,xtks:3941
3944:xtks,Furubayashi Shiko Co. Ltd,xtks:3944
3954:xtks,Showa Paxxs Corp.,xtks:3954
3964:xtks,Aucnet Inc.,xtks:3964
3983:xtks,ORO Co. Ltd,xtks:3983
4004:xtks,Showa Denko K K,xtks:4004
4005:xtks,Sumitomo Chemical Co. Ltd,xtks:4005
4021:xtks,Nissan Chemical Industries Ltd,xtks:4021
4028:xtks,Ishihara Sangyo Kaisha Ltd,xtks:4028
4041:xtks,Nippon Soda Co. Ltd,xtks:4041
4042:xtks,Tosoh Corp.,xtks:4042
4043:xtks,Tokuyama Corp.,xtks:4043
4044:xtks,Central Glass Co Ltd,xtks:4044
4045:xtks,Toagosei Co Ltd,xtks:4045
4047:xtks,Kanto Denka Kogyo Co Ltd,xtks:4047
4061:xtks,Denka Co Ltd,xtks:4061
4062:xtks,IBIDEN Co. Ltd,xtks:4062
4063:xtks,Shin-Etsu Chem,xtks:4063
4092:xtks,Nippon Chemical Industrial Co. Ltd,xtks:4092
4095:xtks,Nihon Parkerizing Co Ltd,xtks:4095
4100:xtks,Toda Kogyo Corp.,xtks:4100
4102:xtks,Maruo Calcium Co. Ltd,xtks:4102
4115:xtks,Honshu Chemical Industry Co Ltd,xtks:4115
4151:xtks,Kyowa Hakko Kogyo Co. Ltd,xtks:4151
4182:xtks,Mitsubishi Gas Chemical Company Inc.,xtks:4182
4183:xtks,Mitsui Chemicals Inc.,xtks:4183
4185:xtks,JSR Corp.,xtks:4185
4186:xtks,Tokyo Ohka Kogyo Co. Ltd,xtks:4186
4188:xtks,Mitsubishi Chemical Holdings Corp.,xtks:4188
4189:xtks,KH Neochem Co. Ltd,xtks:4189
4202:xtks,Daicel Corp.,xtks:4202
4203:xtks,Sumitomo Bakelite Co. Ltd,xtks:4203
4204:xtks,Sekisui Chemical Co. Ltd,xtks:4204
4206:xtks,Aica Kogyo Co. Ltd,xtks:4206
4208:xtks,Ube Industries Ltd,xtks:4208
4212:xtks,Sekisui Jushi Corp.,xtks:4212
4215:xtks,CI Takiron Corp.,xtks:4215
4217:xtks,Hitachi Chemical Company Ltd,xtks:4217
4221:xtks,Okura Industrial Co. Ltd,xtks:4221
4224:xtks,LONSEAL Corp.,xtks:4224
4231:xtks,Tigers Polymer Corp.,xtks:4231
4239:xtks,Polatechno Co. Ltd,xtks:4239
4246:xtks,DaikyoNishikawa Corp.,xtks:4246
4272:xtks,Nippon Kayaku Co. Ltd,xtks:4272
4301:xtks,AMUSE Inc.,xtks:4301
4307:xtks,Nomura Research Institute Ltd,xtks:4307
4318:xtks,Quick Co. Ltd,xtks:4318
4321:xtks,Kenedix Inc.,xtks:4321
4324:xtks,Dentsu,xtks:4324
4365:xtks,Matsumoto Yushi-Seiyaku Co. Ltd,xtks:4365
4452:xtks,Kao Corp.,xtks:4452
4502:xtks,Takeda Pharmaceutical Co. Ltd,xtks:4502
4503:xtks,Astellas Pharma Inc.,xtks:4503
4506:xtks,Dainippon Pharmaceutical Co. Ltd,xtks:4506
4507:xtks,Shionogi & Co. Ltd,xtks:4507
4508:xtks,Mitsubishi Tanabe Pharma Corp.,xtks:4508
4514:xtks,ASKA Pharmaceutical Co Ltd,xtks:4514
4519:xtks,Chugai Pharmaceutical Co. Ltd,xtks:4519
4521:xtks,Kaken Pharmaceutical Co Ltd,xtks:4521
4523:xtks,Eisai Co. Ltd,xtks:4523
4527:xtks,Rohto Pharmaceutical Co Ltd,xtks:4527
4528:xtks,Ono Pharmaceutical Co. Ltd,xtks:4528
4536:xtks,Santen Pharmaceutical Co. Ltd,xtks:4536
4539:xtks,Nippon Chemiphar Co. Ltd,xtks:4539
4541:xtks,Nichi-iko Pharmaceutical Co Ltd,xtks:4541
4543:xtks,Terumo Corp.,xtks:4543
4544:xtks,Miraca Holdings Inc.,xtks:4544
4547:xtks,Kissei Pharmaceutical Co. Ltd,xtks:4547
4549:xtks,Eiken Chemical Co. Ltd,xtks:4549
4553:xtks,Towa Pharmaceutical Co. Ltd,xtks:4553
4555:xtks,SAWAI PHARMACEUTICAL Co. Ltd,xtks:4555
4563:xtks,AnGes MG Inc.,xtks:4563
4564:xtks,OncoTherapy Science Inc.,xtks:4564
4565:xtks,Sosei Group Corp.,xtks:4565
4568:xtks,Daiichi Sankyo Co. Ltd,xtks:4568
4578:xtks,Otsuka Holdings Co Ltd,xtks:4578
4581:xtks,Taisho Pharmaceutical Holdings Co.Ltd,xtks:4581
4584:xtks,Gene Techno Science Co. Ltd,xtks:4584
4587:xtks,PeptiDream Inc.,xtks:4587
4592:xtks,SanBio Co Ltd,xtks:4592
4611:xtks,Dai Nippon Toryo Co Ltd,xtks:4611
4612:xtks,Nippon Paint Holdings Co. Ltd,xtks:4612
4613:xtks,Kansai Paint Co. Ltd,xtks:4613
4619:xtks,Nihon Tokushu Toryo Co Ltd,xtks:4619
4621:xtks,Rock Paint Co. Ltd,xtks:4621
4624:xtks,Isamu Paint Co Ltd,xtks:4624
4628:xtks,SK Kaken Co.Ltd,xtks:4628
4633:xtks,Sakata Inx Corp.,xtks:4633
4635:xtks,Tokyo Printing Ink Mfg Co Ltd,xtks:4635
4642:xtks,Original Engineering Consultants Co. Ltd,xtks:4642
4659:xtks,AJIS Co. Ltd,xtks:4659
4666:xtks,Park24 Co. Ltd,xtks:4666
4671:xtks,Falco Holdings Co. Ltd,xtks:4671
4676:xtks,FUJI MEDIA HOLDINGS Inc.,xtks:4676
4681:xtks,ResortTrust Inc.,xtks:4681
4689:xtks,Yahoo Japan Corp.,xtks:4689
4694:xtks,BML Inc.,xtks:4694
4704:xtks,Trend Micro Inc.,xtks:4704
4709:xtks,Information Development Co. Ltd,xtks:4709
4714:xtks,Riso Kyoiku Co Ltd,xtks:4714
4722:xtks,Future Corp.,xtks:4722
4734:xtks,Being Co Ltd,xtks:4734
4746:xtks,Toukei Computer Co Ltd,xtks:4746
4751:xtks,CyberAgent Inc.,xtks:4751
4752:xtks,Showa System Engineering Corp.,xtks:4752
4754:xtks,TOSNET Corp.,xtks:4754
4755:xtks,Rakuten Inc.,xtks:4755
4771:xtks,F&M Co. Ltd,xtks:4771
4792:xtks,YAMADA Consulting Group Co Ltd,xtks:4792
4820:xtks,EM Systems Co Ltd,xtks:4820
4825:xtks,Weathernews Inc.,xtks:4825
4845:xtks,Scala Inc.,xtks:4845
4849:xtks,En-Japan inc.,xtks:4849
4901:xtks,FUJIFILM Holdings Corp.,xtks:4901
4902:xtks,Konica Minolta Holdings Inc.,xtks:4902
4911:xtks,Shiseido Co. Ltd,xtks:4911
4912:xtks,Lion Corp.,xtks:4912
4921:xtks,Fancl Corp.,xtks:4921
4922:xtks,Kose Corp.,xtks:4922
4927:xtks,Pola Orbis Holdings Inc.,xtks:4927
4955:xtks,Agro-Kanesho Co Ltd,xtks:4955
4966:xtks,C. Uyemura & Co Ltd,xtks:4966
4967:xtks,Kobayashi Pharmaceutical Co. Ltd,xtks:4967
4970:xtks,Toyo Gosei Co. Ltd,xtks:4970
4975:xtks,JCU Corp.,xtks:4975
4976:xtks,Toyo Drilube Co. Ltd,xtks:4976
4980:xtks,Dexerials Corp.,xtks:4980
4996:xtks,Kumiai Chemical Industry Co. Ltd,xtks:4996
4998:xtks,Fumakilla Ltd,xtks:4998
5002:xtks,Showa Shell Sekiyu KK,xtks:5002
5009:xtks,FUJI KOSAN Co. Ltd,xtks:5009
5011:xtks,Nichireki Co Ltd,xtks:5011
5013:xtks,Yushiro Chemical Industry Co. Ltd,xtks:5013
5015:xtks,BP Castrol K.K.,xtks:5015
5018:xtks,MORESCO Corp.,xtks:5018
5019:xtks,Idemitsu Kosan Co. Ltd,xtks:5019
5020:xtks,JX Holdings Inc.,xtks:5020
5101:xtks,Yokohama Rubber Co. Ltd,xtks:5101
5105:xtks,Toyo Tire & Rubber Co. Ltd,xtks:5105
5108:xtks,Bridgestone Corp.,xtks:5108
5110:xtks,Sumitomo Rubber Industries Ltd,xtks:5110
5122:xtks,Okamoto Industries Inc.,xtks:5122
5161:xtks,Nishikawa Rubber Co Ltd,xtks:5161
5162:xtks,Asahi Rubber Inc.,xtks:5162
5184:xtks,Nichirin Co Ltd,xtks:5184
5185:xtks,Fukoku Co. Ltd,xtks:5185
5194:xtks,Sagami Rubber Industries Co. Ltd,xtks:5194
5201:xtks,Asahi Glass Co. Ltd,xtks:5201
5202:xtks,Nippon Sheet GlassCo. Ltd,xtks:5202
5208:xtks,Arisawa Mfg Co. Ltd,xtks:5208
5214:xtks,Nippon Electric Glass Co. Ltd,xtks:5214
5232:xtks,Sumitomo Osaka Cement Co. Ltd,xtks:5232
5233:xtks,Taiheiyo Cement Corp.,xtks:5233
5262:xtks,Nippon Hume Corp.,xtks:5262
5273:xtks,Mitani Sekisan Co. Ltd,xtks:5273
5288:xtks,ASIA PILE Holdings Corp.,xtks:5288
5301:xtks,Tokai Carbon Co. Ltd,xtks:5301
5302:xtks,Nippon Carbon Co. Ltd,xtks:5302
5304:xtks,Sec Carbon Ltd,xtks:5304
5310:xtks,TOYO TANSO Co. Ltd,xtks:5310
5331:xtks,Noritake Co Ltd,xtks:5331
5332:xtks,Toto Ltd,xtks:5332
5333:xtks,NGK Insulators Ltd,xtks:5333
5357:xtks,Yotai Refractories Co Ltd,xtks:5357
5386:xtks,Tsuruya Co. Ltd,xtks:5386
5401:xtks,Nippon Steel Corp.,xtks:5401
5406:xtks,Kobe Steel Ltd,xtks:5406
5408:xtks,Nakayama Steel Works Ltd,xtks:5408
5410:xtks,Godo Steel Ltd,xtks:5410
5411:xtks,JFE Holdings Inc.,xtks:5411
5413:xtks,Nisshin Steel Holdings Co Ltd,xtks:5413
5423:xtks,Tokyo Steel Manufacturing Co. Ltd,xtks:5423
5444:xtks,Yamato Kogyo Co. Ltd,xtks:5444
5449:xtks,Osaka Steel Co Ltd,xtks:5449
5464:xtks,Mory Industries Inc.,xtks:5464
5471:xtks,Daido Steel Co Ltd,xtks:5471
5486:xtks,Hitachi Metals Ltd,xtks:5486
5541:xtks,Pacific Metals Co. Ltd,xtks:5541
5563:xtks,Nippon Denko Co. Ltd,xtks:5563
5631:xtks,The Japan Steel Works Ltd,xtks:5631
5703:xtks,Nippon Light Metal Holdings Company Ltd,xtks:5703
5706:xtks,Mitsui Mining & Smelting Co. Ltd,xtks:5706
5707:xtks,Toho Zinc Co. Ltd,xtks:5707
5711:xtks,Mitsubishi Materials Corp.,xtks:5711
5713:xtks,Sumitomo Metal Mining Co. Ltd,xtks:5713
5714:xtks,DOWA HOLDINGS CO. LTD,xtks:5714
5715:xtks,Furukawa Co. Ltd,xtks:5715
5721:xtks,S Science Company Ltd,xtks:5721
5741:xtks,UACJ Corp.,xtks:5741
5801:xtks,Furukawa Electric Co. Ltd,xtks:5801
5802:xtks,Sumitomo Electric Industries Ltd,xtks:5802
5803:xtks,Fujikura Ltd,xtks:5803
5820:xtks,Mitsuboshi Co. Ltd,xtks:5820
5851:xtks,Ryobi Ltd,xtks:5851
5852:xtks,Ahresty Corp.,xtks:5852
5857:xtks,Asahi Holdings Inc.,xtks:5857
5900:xtks,Daiken Co Ltd,xtks:5900
